target,horizon_minutes,n,rmse,nrmse,mae,bias,r2,resolution,resolution_minutes,model,feature_set,candidate_id,split,fit_seconds,inference_seconds
temperature,60,378,0.7908313285200752,0.20435991707440299,0.5257343769914472,-0.013366209968687428,0.9603061175155299,12min,12,XGBOOST,SHT_TIME,2,test,1.2038556999759749,0.0444730999879539
temperature,120,378,1.2060733794104441,0.3179729737025036,0.7997629738863185,0.12399174355535547,0.9106851432787924,12min,12,XGBOOST,SHT_TIME,2,test,1.2038556999759749,0.0444730999879539
temperature,240,378,1.667669637070992,0.40426907037462134,1.2067320241373054,0.3576590298849444,0.8329792117172313,12min,12,XGBOOST,SHT_TIME,2,test,1.2038556999759749,0.0444730999879539
temperature,480,378,1.973233727447818,0.3881575852523488,1.5289010653083708,0.4057832943951646,0.825903162444027,12min,12,XGBOOST,SHT_TIME,2,test,1.2038556999759749,0.0444730999879539
relative_humidity,60,378,2.2965473809779806,0.20109824930249715,1.5439495728507877,-0.11119902703286899,0.9597817921183112,12min,12,XGBOOST,SHT_TIME,2,test,1.2038556999759749,0.0444730999879539
relative_humidity,120,378,3.123461808069306,0.28196641859171945,2.060982845784075,0.26227839259664026,0.9276443128608644,12min,12,XGBOOST,SHT_TIME,2,test,1.2038556999759749,0.0444730999879539
relative_humidity,240,378,4.384999220025744,0.3642098335013733,3.253020718421465,-1.130583514393532,0.8597632518418482,12min,12,XGBOOST,SHT_TIME,2,test,1.2038556999759749,0.0444730999879539
relative_humidity,480,378,5.196210801143521,0.38486760073955034,3.7489282315370267,-0.07328132212267115,0.8424092217146273,12min,12,XGBOOST,SHT_TIME,2,test,1.2038556999759749,0.0444730999879539
temperature,60,239,1.0712283334594075,0.27162149848288963,0.8035973998804562,0.12482832237497235,0.9194248741833333,20min,20,RANDOM_FOREST,SHT_TIME,1,validation,0.11498579999897629,0.027732299990020692
temperature,120,239,1.4224419211864006,0.37413221846456424,1.0599855748156999,0.07920425383542223,0.8631067002323225,20min,20,RANDOM_FOREST,SHT_TIME,1,validation,0.11498579999897629,0.027732299990020692
temperature,240,239,2.0411772801533634,0.44078156884508535,1.5836992179717109,0.5234094391313012,0.7375406459802678,20min,20,RANDOM_FOREST,SHT_TIME,1,validation,0.11498579999897629,0.027732299990020692
temperature,480,239,2.367216152657112,0.43915185296603937,1.7903891960549838,1.00433333831439,0.6711353315705699,20min,20,RANDOM_FOREST,SHT_TIME,1,validation,0.11498579999897629,0.027732299990020692
relative_humidity,60,239,3.5805630227248013,0.32051749598925083,2.6163329946204392,0.20524014743973637,0.8987158226836053,20min,20,RANDOM_FOREST,SHT_TIME,1,validation,0.11498579999897629,0.027732299990020692
relative_humidity,120,239,4.650618643037234,0.4329234787144893,3.2774900677425785,0.4070646842000484,0.8329070023111889,20min,20,RANDOM_FOREST,SHT_TIME,1,validation,0.11498579999897629,0.027732299990020692
relative_humidity,240,239,6.105378461504328,0.5001980540181633,4.490099895397484,-0.5483453028491663,0.7318943255280017,20min,20,RANDOM_FOREST,SHT_TIME,1,validation,0.11498579999897629,0.027732299990020692
